"VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_TRABAJA","AGR_TRABAJA","AGR_ESCOLARIDAD","AGR_EST_CIV"
10,2,2,2,10,NA
29,2,1,1,99,1
29,1,2,2,99,1
39,2,2,1,99,1
10,3,2,2,25,1
23,1,1,1,26,1
10,9,2,1,23,9
59,2,1,2,99,9
10,4,2,2,39,1
NA,NA,NA,2,32,1
10,NA,2,2,26,1
21,NA,2,2,31,1
39,2,1,2,99,9
99,2,1,9,99,9
21,2,2,2,21,1
39,1,1,2,39,1
56,1,1,2,32,1
NA,NA,NA,2,32,1
32,1,2,2,26,1
26,2,2,1,23,1
10,3,2,2,33,1
46,3,2,2,31,1
49,1,1,1,99,3
10,3,2,1,10,3
49,2,1,1,99,3
99,NA,2,9,99,9
49,2,1,2,99,9
99,1,1,2,99,1
10,1,1,1,10,1
26,2,1,2,26,1
10,1,2,9,99,1
26,1,2,2,26,1
26,1,2,2,26,1
29,1,2,2,29,1
33,1,2,2,23,1
49,9,2,2,49,1
33,1,1,2,33,1
NA,NA,NA,2,33,1
NA,NA,NA,2,32,1
26,1,2,1,26,1
26,1,2,2,33,1
21,2,2,2,21,1
26,2,2,2,32,1
21,3,2,1,21,1
23,3,2,2,25,1
10,2,1,2,32,1
26,3,2,1,25,3
10,3,1,2,26,3
10,9,1,2,10,9
22,1,2,2,21,9
29,9,2,2,29,9
39,9,1,2,29,9
29,9,1,2,29,9
39,2,2,2,39,9
29,9,2,2,39,9
23,9,1,2,26,9
22,9,2,2,10,1
99,1,1,2,99,1
10,1,2,2,39,1
10,1,2,2,39,1
39,1,2,2,29,1
10,2,2,2,29,1
10,2,2,2,45,1
10,2,2,1,10,1
26,2,2,2,26,1
26,3,2,2,32,1
24,9,2,2,26,1
39,9,2,2,33,1
56,1,1,2,33,1
46,5,1,2,33,1
45,2,2,2,32,1
23,1,2,2,23,1
32,1,2,2,26,1
32,1,2,2,33,1
33,1,2,2,33,1
46,2,2,2,44,1
10,3,2,2,25,1
10,9,2,2,26,1
21,9,2,2,21,1
46,1,1,2,31,1
26,9,1,2,49,1
10,3,1,2,31,1
10,1,1,1,10,1
10,9,1,1,32,1
26,1,1,9,99,3
26,3,2,1,26,3
26,3,2,1,10,3
26,3,2,1,26,3
29,3,2,1,29,3
33,3,2,2,26,3
22,3,1,2,10,3
26,3,2,1,23,3
99,3,1,2,33,3
99,3,1,1,22,3
10,3,1,1,25,3
99,3,1,2,23,3
26,5,2,1,24,5
32,5,2,1,24,5
23,5,2,2,23,5
26,5,2,1,26,5
26,2,2,2,26,9
26,2,2,1,26,9
26,2,2,1,26,9
26,2,2,1,26,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,26,9
10,1,2,2,29,9
45,2,2,2,45,9
21,9,2,1,25,9
26,9,2,1,44,9
26,9,2,2,26,9
32,9,2,1,26,9
99,9,2,9,99,9
44,2,1,2,39,9
33,9,1,2,26,9
49,9,1,2,39,9
44,9,1,2,31,9
29,2,1,9,39,9
39,9,1,2,29,9
33,9,2,2,26,9
25,3,1,1,32,1
10,9,2,2,33,1
29,NA,2,2,29,1
22,1,2,1,99,1
24,1,2,1,10,1
26,1,2,1,32,1
26,1,2,1,32,1
29,1,2,2,29,1
31,1,2,1,10,1
44,1,2,2,33,1
49,1,2,2,39,1
49,1,2,2,49,1
10,2,2,2,26,1
22,2,2,2,33,1
26,2,2,2,33,1
29,2,2,2,49,1
29,2,2,1,29,1
99,2,2,2,99,1
10,3,2,2,29,1
59,3,2,2,49,1
49,2,1,2,49,1
56,2,1,2,46,1
23,2,1,1,23,1
29,2,1,1,29,1
49,2,1,2,39,1
10,5,1,1,22,1
29,2,1,2,39,1
21,2,1,1,26,1
23,2,2,2,23,1
10,3,2,2,26,1
24,3,2,2,24,1
26,1,2,2,33,1
26,1,2,2,33,1
26,1,2,2,33,1
31,1,2,2,26,1
10,2,2,1,26,1
10,2,2,2,26,1
33,2,2,2,33,1
10,3,2,2,31,1
10,3,2,2,49,1
26,3,2,2,33,1
46,2,1,2,33,1
23,3,1,1,26,1
26,9,1,2,32,1
33,3,1,2,10,1
23,9,1,2,25,1
21,4,1,1,26,1
45,5,1,2,26,1
31,9,1,2,32,1
46,3,1,2,44,1
46,3,1,2,45,3
10,2,2,2,10,3
23,3,2,1,26,3
26,3,2,1,26,3
44,3,1,2,26,3
46,2,2,1,46,3
10,3,2,1,10,3
10,3,2,1,26,3
10,3,2,1,24,3
10,3,2,2,10,3
10,3,2,1,26,3
10,3,2,1,33,3
22,3,2,1,22,3
22,3,2,2,31,3
23,3,2,1,26,3
26,3,2,1,21,3
26,3,2,2,26,3
26,3,2,2,33,3
26,3,2,2,26,3
26,3,2,1,26,3
31,3,2,1,26,3
33,3,2,1,26,3
26,3,1,2,10,3
26,3,1,2,26,3
29,3,1,2,29,3
33,1,9,1,23,3
33,5,2,1,33,5
23,9,1,1,23,9
99,9,2,9,99,9
49,1,2,2,99,9
49,2,2,2,39,9
10,9,2,9,10,9
10,9,2,1,99,9
10,9,2,2,32,9
23,9,2,1,23,9
29,9,2,1,29,9
29,9,2,1,29,9
31,9,2,1,10,9
39,9,2,1,29,9
45,9,2,1,45,9
49,9,2,2,49,9
29,9,1,2,99,9
39,9,1,2,29,9
29,9,1,2,29,9
39,9,1,2,10,9
49,9,2,1,10,9
29,2,2,9,99,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,26,9
29,9,2,1,29,9
29,9,2,1,29,9
32,9,2,1,33,9
39,2,1,1,10,9
29,9,1,2,29,9
39,1,2,2,99,1
99,1,2,1,99,1
10,9,2,1,26,1
99,1,1,1,99,1
10,2,1,1,33,1
99,1,1,2,45,1
10,1,1,9,99,1
46,5,1,2,45,1
23,NA,2,2,45,1
10,1,2,2,99,1
